"Monat","Preis"
2019-07-01,2054
2019-08-01,2054
2019-09-01,2054
2019-10-01,2008
2019-11-01,2008
2019-12-01,2008
2020-01-01,1958
2020-02-01,1958
2020-03-01,1958
2020-04-01,1952
2020-05-01,1928
2020-06-01,1928
2020-07-01,1924
2020-08-01,1924
2020-09-01,1924
2020-10-01,1882
2020-11-01,1882
2020-12-01,1882
2021-01-01,1920
2021-02-01,1920
2021-03-01,1930
2021-04-01,1926
2021-05-01,1926
2021-06-01,1926
2021-07-01,1932
2021-08-01,1932
2021-09-01,1932
2021-10-01,2092
2021-11-01,2128
2021-12-01,2128
2022-01-01,2632
2022-02-01,2642
2022-03-01,2672
2022-04-01,2682
2022-05-01,2706
2022-06-01,2764
